"","Location","Price","Rooms","Car.Parks","Property.Type","Land.Type","Land.Size.Sq.ft","Extra_Rooms"
"41623","Segambut",580000,2,2,"2-sty Terrace/Link House","Land area ",817,0
"41624","Segambut",7e+05,3,1,"Condominium","Built-up ",1250,1
"41625","Segambut",580000,1,2,"Apartment (Corner)","Built-up ",910,0
"41626","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1007,0
"41627","Segambut",580000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",880,0
"41628","Segambut",880000,3,2,"Condominium","Built-up ",1350,0
"41629","Segambut",1140000,3,2,"Condominium","Built-up ",1788,1
"41630","Segambut",580000,3,1,"Condominium (Corner)","Built-up ",1381,1
"41631","Segambut",1700000,3,2,"2-sty Terrace/Link House (Corner)","Land area ",2870,0
"41632","Segambut",648000,3,2,"Condominium (Intermediate)","Built-up ",1577,0
"41633","Segambut",580000,3,1,"3-sty Terrace/Link House (Intermediate)","Land area ",1522,0
"41634","Segambut",720900,4,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,0
"41635","Segambut",722250,3,2,"Condominium (Intermediate)","Built-up ",1184,0
"41636","Segambut",7e+05,3,2,"Condominium (Intermediate)","Built-up ",1250,1
"41637","Segambut",580000,3,2,"2.5-sty Terrace/Link House (Intermediate)","Land area ",630,0
"41638","Segambut",638000,3,2,"Condominium","Built-up ",1168,0
"41639","Segambut",730000,3,2,"Condominium","Built-up ",1643,1
"41640","Segambut",580000,3,2,"Flat (Intermediate)","Built-up ",930,0
"41641","Segambut",580000,2,1,"Apartment (Corner)","Built-up ",910,0
"41642","Segambut",998000,4,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1600,0
"41643","Segambut",680000,3,2,"Condominium","Built-up ",1168,0
"41644","Segambut",580000,3,2,"Apartment (Intermediate)","Built-up ",900,0
"41645","Segambut",990000,4,2,"2-sty Terrace/Link House (EndLot)","Land area ",2200,0
"41646","Segambut",580000,3,2,"Condominium","Built-up ",1215,0
"41647","Segambut",880000,3,2,"Condominium","Built-up ",1319,0
"41648","Segambut",890000,3,2,"Condominium","Built-up ",1319,0
"41649","Segambut",1150000,3,2,"Condominium","Built-up ",1788,1
"41650","Segambut",1200000,3,2,"Condominium","Built-up ",1788,1
"41651","Segambut",1250000,3,2,"Condominium","Built-up ",1856,1
"41652","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1006,0
"41653","Segambut",580000,3,1,"Apartment","Built-up ",913,0
"41654","Segambut",802500,2,1,"Condominium (Corner)","Built-up ",1300,1
"41655","Segambut",810000,4,2,"Condominium","Unknown",1349,1
"41656","Segambut",580000,3,1,"Apartment (Corner)","Built-up ",1200,0
"41657","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1049,0
"41658","Segambut",580000,3,6,"Flat (Intermediate)","Built-up ",935,0
"41659","Segambut",580000,3,4,"Flat (Intermediate)","Built-up ",935,0
"41660","Segambut",580000,3,4,"Flat (Intermediate)","Built-up ",935,0
"41661","Segambut",2650000,5,6,"Semi-detached House","Land area ",3575,0
"41662","Segambut",580000,2,1,"Serviced Residence","Built-up ",829,1
"41663","Segambut",580000,2,1,"Serviced Residence","Built-up ",829,1
"41664","Segambut",580000,3,2,"Serviced Residence (Intermediate)","Built-up ",958,0
"41665","Segambut",580000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41666","Segambut",780000,3,2,"Condominium (Corner)","Built-up ",1300,1
"41667","Segambut",750000,3,2,"Condominium (Intermediate)","Built-up ",1250,1
"41668","Segambut",890000,4,2,"1-sty Terrace/Link House","Land area ",2706,0
"41669","Segambut",580000,3,2,"1-sty Terrace/Link House","Land area ",1470,0
"41670","Segambut",580000,2,2,"2-sty Terrace/Link House","Land area ",817,0
"41671","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1049,0
"41672","Segambut",580000,3,1,"Apartment","Built-up ",1150,0
"41673","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1150,1
"41674","Segambut",820000,4,2,"Condominium (Intermediate)","Built-up ",1262,0
"41675","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",918,0
"41676","Segambut",1130000,4,3,"2-sty Terrace/Link House (Intermediate)","Land area ",1400,0
"41677","Segambut",930000,4,2,"Semi-detached House (Corner)","Land area ",3200,0
"41678","Segambut",950000,4,2,"Semi-detached House (Corner)","Land area ",3200,0
"41679","Segambut",630000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41680","Segambut",1290000,5,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1540,0
"41681","Segambut",580000,3,1,"Apartment","Unknown",966,0
"41682","Segambut",2650000,5,4,"Semi-detached House (Intermediate)","Land area ",3162,0
"41683","Segambut",1668000,3,3,"2-sty Terrace/Link House (Corner)","Land area ",3360,0
"41684","Segambut",1030000,5,2,"3-sty Terrace/Link House","Land area ",1220,0
"41685","Segambut",580000,2,2,"Serviced Residence","Built-up ",713,0
"41686","Segambut",1150000,3,2,"Condominium (Corner)","Built-up ",1787,1
"41687","Segambut",895000,3,2,"Condominium (Corner)","Built-up ",1318,0
"41688","Segambut",920000,3,2,"Condominium (Corner)","Built-up ",1305,0
"41689","Segambut",2830000,6,2,"Semi-detached House","Built-up ",3600,0
"41690","Segambut",3300000,6,3,"Bungalow (Intermediate)","Land area ",4514,1
"41691","Segambut",580000,3,1,"Apartment","Built-up ",916,0
"41692","Segambut",580000,3,1,"Apartment (Corner)","Built-up ",1186,0
"41693","Segambut",7e+05,3,2,"Condominium","Built-up ",1203,1
"41694","Segambut",580000,3,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1522,0
"41695","Segambut",880000,3,2,"Condominium","Built-up ",1306,0
"41696","Segambut",580000,2,1,"Serviced Residence (Corner)","Built-up ",720,0
"41697","Segambut",730000,2,2,"Condominium (Intermediate)","Built-up ",1021,1
"41698","Segambut",650000,3,1,"Condominium","Built-up ",1168,0
"41699","Segambut",650000,3,2,"Condominium (Corner)","Built-up ",1300,1
"41700","Segambut",580000,3,1,"Condominium","Built-up ",1577,1
"41701","Segambut",599999,3,1,"2-sty Terrace/Link House (Intermediate)","Land area ",880,0
"41702","Segambut",580000,4,1,"2.5-sty Terrace/Link House (Intermediate)","Land area ",623,0
"41703","Segambut",590000,3,1,"Condominium (Intermediate)","Built-up ",1021,0
"41704","Segambut",690000,3,2,"Condominium (Intermediate)","Built-up ",1262,1
"41705","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",850,0
"41706","Segambut",580000,2,1,"Apartment","Land area ",913,0
"41707","Segambut",828000,3,2,"Condominium (Intermediate)","Built-up ",1319,0
"41708","Segambut",688000,3,2,"Townhouse (Intermediate)","Land area ",1525,0
"41709","Segambut",580000,3,1,"Apartment","Built-up ",918,0
"41710","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1165,0
"41711","Segambut",580000,2,2,"Serviced Residence (Intermediate)","Built-up ",742,0
"41712","Segambut",6e+05,3,1,"Condominium (Intermediate)","Built-up ",1124,0
"41713","Segambut",580000,5,2,"3-sty Terrace/Link House","Land area ",592,0
"41714","Segambut",580000,3,1,"Apartment (Corner)","Built-up ",918,0
"41715","Segambut",620000,3,1,"Condominium (Intermediate)","Built-up ",1021,0
"41716","Segambut",750000,4,2,"Condominium","Built-up ",1262,0
"41717","Segambut",650000,3,2,"Condominium","Built-up ",1168,0
"41718","Segambut",580000,3,1,"Flat","Built-up ",914,0
"41719","Segambut",1850000,6,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",3481,1
"41720","Segambut",1600000,6,4,"Condominium","Built-up ",2015,0
"41721","Segambut",3400000,6,4,"Bungalow","Land area ",4480,1
"41722","Segambut",850000,3,2,"Condominium","Built-up ",1893,1
"41723","Segambut",580000,3,2,"Condominium","Built-up ",1250,0
"41724","Segambut",1600000,3,2,"Semi-detached House","Land area ",3900,1
"41725","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1007,0
"41726","Segambut",620000,3,2,"Condominium","Built-up ",1168,0
"41727","Segambut",580000,3,1,"Flat (Intermediate)","Built-up ",902,0
"41728","Segambut",635000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41729","Segambut",740000,3,2,"Condominium","Built-up ",1391,1
"41730","Segambut",777000,1,2,"Residential Land (Intermediate)","Land area ",4530,0
"41731","Segambut",6e+05,3,1,"Condominium (Intermediate)","Land area ",1021,0
"41732","Segambut",7e+05,3,2,"Condominium","Built-up ",1262,1
"41733","Segambut",580000,3,2,"Apartment","Built-up ",1043,0
"41734","Segambut",735000,3,2,"Condominium","Built-up ",1262,1
"41735","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",850,0
"41736","Segambut",810000,3,2,"Condominium","Built-up ",1300,0
"41737","Segambut",2400000,4,3,"Semi-detached House","Land area ",3575,1
"41738","Segambut",580000,3,1,"Apartment (Corner)","Built-up ",1007,0
"41739","Segambut",740000,3,2,"Condominium","Built-up ",1168,0
"41740","Segambut",890000,3,2,"Condominium","Built-up ",1300,1
"41741","Segambut",1220000,4,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1522,1
"41742","Segambut",580000,3,2,"Apartment","Built-up ",920,0
"41743","Segambut",580000,3,2,"Flat","Land area ",1000,0
"41744","Segambut",630000,3,2,"2-sty Terrace/Link House","Land area ",880,0
"41745","Segambut",675000,3,2,"1-sty Terrace/Link House","Land area ",1470,0
"41746","Segambut",580000,3,2,"2-sty Terrace/Link House","Land area ",880,0
"41747","Segambut",620000,3,2,"Condominium","Built-up ",1168,0
"41748","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",912,0
